,Movie,Year,IMDB,Metascore,Vote,Runtime,Genre
1604,It,2017,7.3,69,434963,135 min,"Action, Biography, Comedy"
1605,Blade Runner 2049,2017,8.0,81,431618,164 min,"Action, Biography, Comedy"
1606,Baby Driver,2017,7.6,86,412492,113 min,"Action, Biography, Comedy"
1607,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,400644,115 min,"Action, Biography, Comedy"
1608,Justice League,2017,6.4,45,364237,120 min,"Action, Biography, Comedy"
1609,The Shape of Water,2017,7.3,87,351169,123 min,"Action, Biography, Comedy"
1610,John Wick: Chapter 2,2017,7.5,75,344854,122 min,"Action, Biography, Comedy"
1611,Coco,2017,8.4,81,340756,105 min,"Action, Biography, Comedy"
1612,Jumanji: Welcome to the Jungle,2017,6.9,58,301997,119 min,"Action, Biography, Comedy"
1613,Beauty and the Beast,2017,7.1,65,259975,129 min,"Action, Biography, Comedy"
1614,Kong: Skull Island,2017,6.6,62,258577,118 min,"Action, Biography, Comedy"
1615,Kingsman: The Golden Circle,2017,6.7,44,257176,141 min,"Action, Biography, Comedy"
1616,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,250092,129 min,"Action, Biography, Comedy"
1617,Alien: Covenant,2017,6.4,65,244683,122 min,"Action, Biography, Comedy"
1618,The Greatest Showman,2017,7.6,48,221133,105 min,"Action, Biography, Comedy"
1619,Lady Bird,2017,7.4,94,219731,94 min,"Action, Biography, Comedy"
1620,War for the Planet of the Apes,2017,7.4,82,218689,140 min,"Action, Biography, Comedy"
1621,Murder on the Orient Express,2017,6.5,52,199060,114 min,"Action, Biography, Comedy"
1622,Life,2017,6.6,54,198467,104 min,"Action, Biography, Comedy"
1623,The Fate of the Furious,2017,6.7,56,196478,136 min,"Action, Biography, Comedy"
1624,Call Me by Your Name,2017,7.9,93,192560,132 min,"Action, Biography, Comedy"
1625,Wind River,2017,7.7,73,190872,107 min,"Action, Biography, Comedy"
1626,Ghost in the Shell,2017,6.3,52,189463,107 min,"Action, Biography, Comedy"
1627,King Arthur: Legend of the Sword,2017,6.7,41,183882,126 min,"Action, Biography, Comedy"
1628,Mother!,2017,6.6,75,180872,121 min,"Action, Biography, Comedy"
1629,The Hitman's Bodyguard,2017,6.9,47,178117,118 min,"Action, Biography, Comedy"
1630,"I, Tonya",2017,7.5,77,168890,119 min,"Action, Biography, Comedy"
1631,Atomic Blonde,2017,6.7,63,167367,115 min,"Action, Biography, Comedy"
1632,The Mummy,2017,5.4,34,166908,110 min,"Action, Biography, Comedy"
1633,Bright,2017,6.3,29,161957,117 min,"Action, Biography, Comedy"
1634,Darkest Hour,2017,7.4,75,161611,125 min,"Action, Biography, Comedy"
1635,Valerian and the City of a Thousand Planets,2017,6.5,51,155052,137 min,"Action, Biography, Comedy"
1636,Baywatch,2017,5.5,37,153550,116 min,"Action, Biography, Comedy"
1637,American Made,2017,7.2,65,150610,115 min,"Action, Biography, Comedy"
1638,Logan,2017,8.1,77,617330,137 min,"Action, Biography, Comedy"
1639,Thor: Ragnarok,2017,7.9,74,553312,130 min,"Action, Biography, Comedy"
1640,Guardians of the Galaxy Vol. 2,2017,7.6,67,540913,136 min,"Action, Biography, Comedy"
1641,Star Wars: Episode VIII - The Last Jedi,2017,7.0,84,540316,152 min,"Action, Biography, Comedy"
1642,Wonder Woman,2017,7.4,76,528536,141 min,"Action, Biography, Comedy"
1643,Dunkirk,2017,7.9,94,519154,106 min,"Action, Biography, Comedy"
1644,Spider-Man: Homecoming,2017,7.4,73,485753,133 min,"Action, Biography, Comedy"
1645,Get Out,2017,7.7,85,461503,104 min,"Action, Biography, Comedy"
1646,It,2017,7.3,69,434963,135 min,"Action, Biography, Comedy"
1647,Blade Runner 2049,2017,8.0,81,431618,164 min,"Action, Biography, Comedy"
1648,Baby Driver,2017,7.6,86,412492,113 min,"Action, Biography, Comedy"
1649,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,400644,115 min,"Action, Biography, Comedy"
1650,Justice League,2017,6.4,45,364237,120 min,"Action, Biography, Comedy"
1651,The Shape of Water,2017,7.3,87,351169,123 min,"Action, Biography, Comedy"
1652,John Wick: Chapter 2,2017,7.5,75,344854,122 min,"Action, Biography, Comedy"
1653,Coco,2017,8.4,81,340756,105 min,"Action, Biography, Comedy"
1654,Jumanji: Welcome to the Jungle,2017,6.9,58,301997,119 min,"Action, Biography, Comedy"
1655,Beauty and the Beast,2017,7.1,65,259975,129 min,"Action, Biography, Comedy"
1656,Kong: Skull Island,2017,6.6,62,258577,118 min,"Action, Biography, Comedy"
1657,Kingsman: The Golden Circle,2017,6.7,44,257176,141 min,"Action, Biography, Comedy"
1658,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,250092,129 min,"Action, Biography, Comedy"
1659,Alien: Covenant,2017,6.4,65,244683,122 min,"Action, Biography, Comedy"
1660,The Greatest Showman,2017,7.6,48,221133,105 min,"Action, Biography, Comedy"
1661,Lady Bird,2017,7.4,94,219731,94 min,"Action, Biography, Comedy"
1662,War for the Planet of the Apes,2017,7.4,82,218689,140 min,"Action, Biography, Comedy"
1663,Murder on the Orient Express,2017,6.5,52,199060,114 min,"Action, Biography, Comedy"
1664,Life,2017,6.6,54,198467,104 min,"Action, Biography, Comedy"
1665,The Fate of the Furious,2017,6.7,56,196478,136 min,"Action, Biography, Comedy"
1666,Call Me by Your Name,2017,7.9,93,192560,132 min,"Action, Biography, Comedy"
1667,Wind River,2017,7.7,73,190872,107 min,"Action, Biography, Comedy"
1668,Ghost in the Shell,2017,6.3,52,189463,107 min,"Action, Biography, Comedy"
1669,King Arthur: Legend of the Sword,2017,6.7,41,183882,126 min,"Action, Biography, Comedy"
1670,Mother!,2017,6.6,75,180872,121 min,"Action, Biography, Comedy"
1671,The Hitman's Bodyguard,2017,6.9,47,178117,118 min,"Action, Biography, Comedy"
1672,"I, Tonya",2017,7.5,77,168890,119 min,"Action, Biography, Comedy"
1673,Atomic Blonde,2017,6.7,63,167367,115 min,"Action, Biography, Comedy"
1674,The Mummy,2017,5.4,34,166908,110 min,"Action, Biography, Comedy"
1675,Bright,2017,6.3,29,161957,117 min,"Action, Biography, Comedy"
1676,Darkest Hour,2017,7.4,75,161611,125 min,"Action, Biography, Comedy"
1677,Valerian and the City of a Thousand Planets,2017,6.5,51,155052,137 min,"Action, Biography, Comedy"
1678,Baywatch,2017,5.5,37,153550,116 min,"Action, Biography, Comedy"
1679,American Made,2017,7.2,65,150610,115 min,"Action, Biography, Comedy"
1680,Logan,2017,8.1,77,617330,137 min,"Action, Biography, Comedy"
1681,Thor: Ragnarok,2017,7.9,74,553312,130 min,"Action, Biography, Comedy"
1682,Guardians of the Galaxy Vol. 2,2017,7.6,67,540913,136 min,"Action, Biography, Comedy"
1683,Star Wars: Episode VIII - The Last Jedi,2017,7.0,84,540316,152 min,"Action, Biography, Comedy"
1684,Wonder Woman,2017,7.4,76,528536,141 min,"Action, Biography, Comedy"
1685,Dunkirk,2017,7.9,94,519154,106 min,"Action, Biography, Comedy"
1686,Spider-Man: Homecoming,2017,7.4,73,485753,133 min,"Action, Biography, Comedy"
1687,Get Out,2017,7.7,85,461503,104 min,"Action, Biography, Comedy"
1688,It,2017,7.3,69,434963,135 min,"Action, Biography, Comedy"
1689,Blade Runner 2049,2017,8.0,81,431618,164 min,"Action, Biography, Comedy"
1690,Baby Driver,2017,7.6,86,412492,113 min,"Action, Biography, Comedy"
1691,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,400644,115 min,"Action, Biography, Comedy"
1692,Justice League,2017,6.4,45,364237,120 min,"Action, Biography, Comedy"
1693,The Shape of Water,2017,7.3,87,351169,123 min,"Action, Biography, Comedy"
1694,John Wick: Chapter 2,2017,7.5,75,344854,122 min,"Action, Biography, Comedy"
1695,Coco,2017,8.4,81,340756,105 min,"Action, Biography, Comedy"
1696,Jumanji: Welcome to the Jungle,2017,6.9,58,301997,119 min,"Action, Biography, Comedy"
1697,Beauty and the Beast,2017,7.1,65,259975,129 min,"Action, Biography, Comedy"
1698,Kong: Skull Island,2017,6.6,62,258577,118 min,"Action, Biography, Comedy"
1699,Kingsman: The Golden Circle,2017,6.7,44,257176,141 min,"Action, Biography, Comedy"
1700,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,250092,129 min,"Action, Biography, Comedy"
1701,Alien: Covenant,2017,6.4,65,244683,122 min,"Action, Biography, Comedy"
1702,The Greatest Showman,2017,7.6,48,221133,105 min,"Action, Biography, Comedy"
1703,Lady Bird,2017,7.4,94,219731,94 min,"Action, Biography, Comedy"
1704,War for the Planet of the Apes,2017,7.4,82,218689,140 min,"Action, Biography, Comedy"
1705,Murder on the Orient Express,2017,6.5,52,199060,114 min,"Action, Biography, Comedy"
1706,Life,2017,6.6,54,198467,104 min,"Action, Biography, Comedy"
1707,The Fate of the Furious,2017,6.7,56,196478,136 min,"Action, Biography, Comedy"
1708,Call Me by Your Name,2017,7.9,93,192560,132 min,"Action, Biography, Comedy"
1709,Wind River,2017,7.7,73,190872,107 min,"Action, Biography, Comedy"
1710,Ghost in the Shell,2017,6.3,52,189463,107 min,"Action, Biography, Comedy"
1711,King Arthur: Legend of the Sword,2017,6.7,41,183882,126 min,"Action, Biography, Comedy"
1712,Mother!,2017,6.6,75,180872,121 min,"Action, Biography, Comedy"
1713,The Hitman's Bodyguard,2017,6.9,47,178117,118 min,"Action, Biography, Comedy"
1714,"I, Tonya",2017,7.5,77,168890,119 min,"Action, Biography, Comedy"
1715,Atomic Blonde,2017,6.7,63,167367,115 min,"Action, Biography, Comedy"
1716,The Mummy,2017,5.4,34,166908,110 min,"Action, Biography, Comedy"
1717,Bright,2017,6.3,29,161957,117 min,"Action, Biography, Comedy"
1718,Darkest Hour,2017,7.4,75,161611,125 min,"Action, Biography, Comedy"
1719,Valerian and the City of a Thousand Planets,2017,6.5,51,155052,137 min,"Action, Biography, Comedy"
1720,Baywatch,2017,5.5,37,153550,116 min,"Action, Biography, Comedy"
1721,American Made,2017,7.2,65,150610,115 min,"Action, Biography, Comedy"
1722,Logan,2017,8.1,77,617330,137 min,"Action, Biography, Comedy"
1723,Thor: Ragnarok,2017,7.9,74,553312,130 min,"Action, Biography, Comedy"
1724,Guardians of the Galaxy Vol. 2,2017,7.6,67,540913,136 min,"Action, Biography, Comedy"
1725,Star Wars: Episode VIII - The Last Jedi,2017,7.0,84,540316,152 min,"Action, Biography, Comedy"
1726,Wonder Woman,2017,7.4,76,528536,141 min,"Action, Biography, Comedy"
1727,Dunkirk,2017,7.9,94,519154,106 min,"Action, Biography, Comedy"
1728,Spider-Man: Homecoming,2017,7.4,73,485753,133 min,"Action, Biography, Comedy"
1729,Get Out,2017,7.7,85,461503,104 min,"Action, Biography, Comedy"
1730,It,2017,7.3,69,434963,135 min,"Action, Biography, Comedy"
1731,Blade Runner 2049,2017,8.0,81,431618,164 min,"Action, Biography, Comedy"
1732,Baby Driver,2017,7.6,86,412492,113 min,"Action, Biography, Comedy"
1733,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,400644,115 min,"Action, Biography, Comedy"
1734,Justice League,2017,6.4,45,364237,120 min,"Action, Biography, Comedy"
1735,The Shape of Water,2017,7.3,87,351169,123 min,"Action, Biography, Comedy"
1736,John Wick: Chapter 2,2017,7.5,75,344854,122 min,"Action, Biography, Comedy"
1737,Coco,2017,8.4,81,340756,105 min,"Action, Biography, Comedy"
1738,Jumanji: Welcome to the Jungle,2017,6.9,58,301997,119 min,"Action, Biography, Comedy"
1739,Beauty and the Beast,2017,7.1,65,259975,129 min,"Action, Biography, Comedy"
1740,Kong: Skull Island,2017,6.6,62,258577,118 min,"Action, Biography, Comedy"
1741,Kingsman: The Golden Circle,2017,6.7,44,257176,141 min,"Action, Biography, Comedy"
1742,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,250092,129 min,"Action, Biography, Comedy"
1743,Alien: Covenant,2017,6.4,65,244683,122 min,"Action, Biography, Comedy"
1744,The Greatest Showman,2017,7.6,48,221133,105 min,"Action, Biography, Comedy"
1745,Lady Bird,2017,7.4,94,219731,94 min,"Action, Biography, Comedy"
1746,War for the Planet of the Apes,2017,7.4,82,218689,140 min,"Action, Biography, Comedy"
1747,Murder on the Orient Express,2017,6.5,52,199060,114 min,"Action, Biography, Comedy"
1748,Life,2017,6.6,54,198467,104 min,"Action, Biography, Comedy"
1749,The Fate of the Furious,2017,6.7,56,196478,136 min,"Action, Biography, Comedy"
1750,Call Me by Your Name,2017,7.9,93,192560,132 min,"Action, Biography, Comedy"
1751,Wind River,2017,7.7,73,190872,107 min,"Action, Biography, Comedy"
1752,Ghost in the Shell,2017,6.3,52,189463,107 min,"Action, Biography, Comedy"
1753,King Arthur: Legend of the Sword,2017,6.7,41,183882,126 min,"Action, Biography, Comedy"
1754,Mother!,2017,6.6,75,180872,121 min,"Action, Biography, Comedy"
1755,The Hitman's Bodyguard,2017,6.9,47,178117,118 min,"Action, Biography, Comedy"
1756,"I, Tonya",2017,7.5,77,168890,119 min,"Action, Biography, Comedy"
1757,Atomic Blonde,2017,6.7,63,167367,115 min,"Action, Biography, Comedy"
1758,The Mummy,2017,5.4,34,166908,110 min,"Action, Biography, Comedy"
1759,Bright,2017,6.3,29,161957,117 min,"Action, Biography, Comedy"
1760,Darkest Hour,2017,7.4,75,161611,125 min,"Action, Biography, Comedy"
1761,Valerian and the City of a Thousand Planets,2017,6.5,51,155052,137 min,"Action, Biography, Comedy"
1762,Baywatch,2017,5.5,37,153550,116 min,"Action, Biography, Comedy"
1763,American Made,2017,7.2,65,150610,115 min,"Action, Biography, Comedy"
1764,Logan,2017,8.1,77,617330,137 min,"Action, Biography, Comedy"
1765,Thor: Ragnarok,2017,7.9,74,553312,130 min,"Action, Biography, Comedy"
1766,Guardians of the Galaxy Vol. 2,2017,7.6,67,540913,136 min,"Action, Biography, Comedy"
1767,Star Wars: Episode VIII - The Last Jedi,2017,7.0,84,540316,152 min,"Action, Biography, Comedy"
1768,Wonder Woman,2017,7.4,76,528536,141 min,"Action, Biography, Comedy"
1769,Dunkirk,2017,7.9,94,519154,106 min,"Action, Biography, Comedy"
1770,Spider-Man: Homecoming,2017,7.4,73,485753,133 min,"Action, Biography, Comedy"
1771,Get Out,2017,7.7,85,461503,104 min,"Action, Biography, Comedy"
1772,It,2017,7.3,69,434963,135 min,"Action, Biography, Comedy"
1773,Blade Runner 2049,2017,8.0,81,431618,164 min,"Action, Biography, Comedy"
1774,Baby Driver,2017,7.6,86,412492,113 min,"Action, Biography, Comedy"
1775,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,400644,115 min,"Action, Biography, Comedy"
1776,Justice League,2017,6.4,45,364237,120 min,"Action, Biography, Comedy"
1777,The Shape of Water,2017,7.3,87,351169,123 min,"Action, Biography, Comedy"
1778,John Wick: Chapter 2,2017,7.5,75,344854,122 min,"Action, Biography, Comedy"
1779,Coco,2017,8.4,81,340756,105 min,"Action, Biography, Comedy"
1780,Jumanji: Welcome to the Jungle,2017,6.9,58,301997,119 min,"Action, Biography, Comedy"
1781,Beauty and the Beast,2017,7.1,65,259975,129 min,"Action, Biography, Comedy"
1782,Kong: Skull Island,2017,6.6,62,258577,118 min,"Action, Biography, Comedy"
1783,Kingsman: The Golden Circle,2017,6.7,44,257176,141 min,"Action, Biography, Comedy"
1784,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,250092,129 min,"Action, Biography, Comedy"
1785,Alien: Covenant,2017,6.4,65,244683,122 min,"Action, Biography, Comedy"
1786,The Greatest Showman,2017,7.6,48,221133,105 min,"Action, Biography, Comedy"
1787,Lady Bird,2017,7.4,94,219731,94 min,"Action, Biography, Comedy"
1788,War for the Planet of the Apes,2017,7.4,82,218689,140 min,"Action, Biography, Comedy"
1789,Murder on the Orient Express,2017,6.5,52,199060,114 min,"Action, Biography, Comedy"
1790,Life,2017,6.6,54,198467,104 min,"Action, Biography, Comedy"
1791,The Fate of the Furious,2017,6.7,56,196478,136 min,"Action, Biography, Comedy"
1792,Call Me by Your Name,2017,7.9,93,192560,132 min,"Action, Biography, Comedy"
1793,Wind River,2017,7.7,73,190872,107 min,"Action, Biography, Comedy"
1794,Ghost in the Shell,2017,6.3,52,189463,107 min,"Action, Biography, Comedy"
1795,King Arthur: Legend of the Sword,2017,6.7,41,183882,126 min,"Action, Biography, Comedy"
1796,Mother!,2017,6.6,75,180872,121 min,"Action, Biography, Comedy"
1797,The Hitman's Bodyguard,2017,6.9,47,178117,118 min,"Action, Biography, Comedy"
1798,"I, Tonya",2017,7.5,77,168890,119 min,"Action, Biography, Comedy"
1799,Atomic Blonde,2017,6.7,63,167367,115 min,"Action, Biography, Comedy"
1800,The Mummy,2017,5.4,34,166908,110 min,"Action, Biography, Comedy"
1801,Bright,2017,6.3,29,161957,117 min,"Action, Biography, Comedy"
1802,Darkest Hour,2017,7.4,75,161611,125 min,"Action, Biography, Comedy"
1803,Valerian and the City of a Thousand Planets,2017,6.5,51,155052,137 min,"Action, Biography, Comedy"
1804,Baywatch,2017,5.5,37,153550,116 min,"Action, Biography, Comedy"
1805,American Made,2017,7.2,65,150610,115 min,"Action, Biography, Comedy"
1806,Logan,2017,8.1,77,617330,137 min,"Action, Biography, Comedy"
1807,Thor: Ragnarok,2017,7.9,74,553312,130 min,"Action, Biography, Comedy"
1808,Guardians of the Galaxy Vol. 2,2017,7.6,67,540913,136 min,"Action, Biography, Comedy"
1809,Star Wars: Episode VIII - The Last Jedi,2017,7.0,84,540316,152 min,"Action, Biography, Comedy"
1810,Wonder Woman,2017,7.4,76,528536,141 min,"Action, Biography, Comedy"
1811,Dunkirk,2017,7.9,94,519154,106 min,"Action, Biography, Comedy"
1812,Spider-Man: Homecoming,2017,7.4,73,485753,133 min,"Action, Biography, Comedy"
1813,Get Out,2017,7.7,85,461503,104 min,"Action, Biography, Comedy"
1814,It,2017,7.3,69,434963,135 min,"Action, Biography, Comedy"
1815,Blade Runner 2049,2017,8.0,81,431618,164 min,"Action, Biography, Comedy"
1816,Baby Driver,2017,7.6,86,412492,113 min,"Action, Biography, Comedy"
1817,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,400644,115 min,"Action, Biography, Comedy"
1818,Justice League,2017,6.4,45,364237,120 min,"Action, Biography, Comedy"
1819,The Shape of Water,2017,7.3,87,351169,123 min,"Action, Biography, Comedy"
1820,John Wick: Chapter 2,2017,7.5,75,344854,122 min,"Action, Biography, Comedy"
1821,Coco,2017,8.4,81,340756,105 min,"Action, Biography, Comedy"
1822,Jumanji: Welcome to the Jungle,2017,6.9,58,301997,119 min,"Action, Biography, Comedy"
1823,Beauty and the Beast,2017,7.1,65,259975,129 min,"Action, Biography, Comedy"
1824,Kong: Skull Island,2017,6.6,62,258577,118 min,"Action, Biography, Comedy"
1825,Kingsman: The Golden Circle,2017,6.7,44,257176,141 min,"Action, Biography, Comedy"
1826,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,250092,129 min,"Action, Biography, Comedy"
1827,Alien: Covenant,2017,6.4,65,244683,122 min,"Action, Biography, Comedy"
1828,The Greatest Showman,2017,7.6,48,221133,105 min,"Action, Biography, Comedy"
1829,Lady Bird,2017,7.4,94,219731,94 min,"Action, Biography, Comedy"
1830,War for the Planet of the Apes,2017,7.4,82,218689,140 min,"Action, Biography, Comedy"
1831,Murder on the Orient Express,2017,6.5,52,199060,114 min,"Action, Biography, Comedy"
1832,Life,2017,6.6,54,198467,104 min,"Action, Biography, Comedy"
1833,The Fate of the Furious,2017,6.7,56,196478,136 min,"Action, Biography, Comedy"
1834,Call Me by Your Name,2017,7.9,93,192560,132 min,"Action, Biography, Comedy"
1835,Wind River,2017,7.7,73,190872,107 min,"Action, Biography, Comedy"
1836,Ghost in the Shell,2017,6.3,52,189463,107 min,"Action, Biography, Comedy"
1837,King Arthur: Legend of the Sword,2017,6.7,41,183882,126 min,"Action, Biography, Comedy"
1838,Mother!,2017,6.6,75,180872,121 min,"Action, Biography, Comedy"
1839,The Hitman's Bodyguard,2017,6.9,47,178117,118 min,"Action, Biography, Comedy"
1840,"I, Tonya",2017,7.5,77,168890,119 min,"Action, Biography, Comedy"
1841,Atomic Blonde,2017,6.7,63,167367,115 min,"Action, Biography, Comedy"
1842,The Mummy,2017,5.4,34,166908,110 min,"Action, Biography, Comedy"
1843,Bright,2017,6.3,29,161957,117 min,"Action, Biography, Comedy"
1844,Darkest Hour,2017,7.4,75,161611,125 min,"Action, Biography, Comedy"
1845,Valerian and the City of a Thousand Planets,2017,6.5,51,155052,137 min,"Action, Biography, Comedy"
1846,Baywatch,2017,5.5,37,153550,116 min,"Action, Biography, Comedy"
1847,American Made,2017,7.2,65,150610,115 min,"Action, Biography, Comedy"
1848,Logan,2017,8.1,77,617330,137 min,"Action, Biography, Comedy"
1849,Thor: Ragnarok,2017,7.9,74,553312,130 min,"Action, Biography, Comedy"
1850,Guardians of the Galaxy Vol. 2,2017,7.6,67,540913,136 min,"Action, Biography, Comedy"
1851,Star Wars: Episode VIII - The Last Jedi,2017,7.0,84,540316,152 min,"Action, Biography, Comedy"
1852,Wonder Woman,2017,7.4,76,528536,141 min,"Action, Biography, Comedy"
1853,Dunkirk,2017,7.9,94,519154,106 min,"Action, Biography, Comedy"
1854,Spider-Man: Homecoming,2017,7.4,73,485753,133 min,"Action, Biography, Comedy"
1855,Get Out,2017,7.7,85,461503,104 min,"Action, Biography, Comedy"
1856,It,2017,7.3,69,434963,135 min,"Action, Biography, Comedy"
1857,Blade Runner 2049,2017,8.0,81,431618,164 min,"Action, Biography, Comedy"
1858,Baby Driver,2017,7.6,86,412492,113 min,"Action, Biography, Comedy"
1859,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,400644,115 min,"Action, Biography, Comedy"
1860,Justice League,2017,6.4,45,364237,120 min,"Action, Biography, Comedy"
1861,The Shape of Water,2017,7.3,87,351169,123 min,"Action, Biography, Comedy"
1862,John Wick: Chapter 2,2017,7.5,75,344854,122 min,"Action, Biography, Comedy"
1863,Coco,2017,8.4,81,340756,105 min,"Action, Biography, Comedy"
1864,Jumanji: Welcome to the Jungle,2017,6.9,58,301997,119 min,"Action, Biography, Comedy"
1865,Beauty and the Beast,2017,7.1,65,259975,129 min,"Action, Biography, Comedy"
1866,Kong: Skull Island,2017,6.6,62,258577,118 min,"Action, Biography, Comedy"
1867,Kingsman: The Golden Circle,2017,6.7,44,257176,141 min,"Action, Biography, Comedy"
1868,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,250092,129 min,"Action, Biography, Comedy"
1869,Alien: Covenant,2017,6.4,65,244683,122 min,"Action, Biography, Comedy"
1870,The Greatest Showman,2017,7.6,48,221133,105 min,"Action, Biography, Comedy"
1871,Lady Bird,2017,7.4,94,219731,94 min,"Action, Biography, Comedy"
1872,War for the Planet of the Apes,2017,7.4,82,218689,140 min,"Action, Biography, Comedy"
1873,Murder on the Orient Express,2017,6.5,52,199060,114 min,"Action, Biography, Comedy"
1874,Life,2017,6.6,54,198467,104 min,"Action, Biography, Comedy"
1875,The Fate of the Furious,2017,6.7,56,196478,136 min,"Action, Biography, Comedy"
1876,Call Me by Your Name,2017,7.9,93,192560,132 min,"Action, Biography, Comedy"
1877,Wind River,2017,7.7,73,190872,107 min,"Action, Biography, Comedy"
1878,Ghost in the Shell,2017,6.3,52,189463,107 min,"Action, Biography, Comedy"
1879,King Arthur: Legend of the Sword,2017,6.7,41,183882,126 min,"Action, Biography, Comedy"
1880,Mother!,2017,6.6,75,180872,121 min,"Action, Biography, Comedy"
1881,The Hitman's Bodyguard,2017,6.9,47,178117,118 min,"Action, Biography, Comedy"
1882,"I, Tonya",2017,7.5,77,168890,119 min,"Action, Biography, Comedy"
1883,Atomic Blonde,2017,6.7,63,167367,115 min,"Action, Biography, Comedy"
1884,The Mummy,2017,5.4,34,166908,110 min,"Action, Biography, Comedy"
1885,Bright,2017,6.3,29,161957,117 min,"Action, Biography, Comedy"
1886,Darkest Hour,2017,7.4,75,161611,125 min,"Action, Biography, Comedy"
1887,Valerian and the City of a Thousand Planets,2017,6.5,51,155052,137 min,"Action, Biography, Comedy"
1888,Baywatch,2017,5.5,37,153550,116 min,"Action, Biography, Comedy"
1889,American Made,2017,7.2,65,150610,115 min,"Action, Biography, Comedy"
1890,Logan,2017,8.1,77,617330,137 min,"Action, Biography, Comedy"
1891,Thor: Ragnarok,2017,7.9,74,553312,130 min,"Action, Biography, Comedy"
1892,Guardians of the Galaxy Vol. 2,2017,7.6,67,540913,136 min,"Action, Biography, Comedy"
1893,Star Wars: Episode VIII - The Last Jedi,2017,7.0,84,540316,152 min,"Action, Biography, Comedy"
1894,Wonder Woman,2017,7.4,76,528536,141 min,"Action, Biography, Comedy"
1895,Dunkirk,2017,7.9,94,519154,106 min,"Action, Biography, Comedy"
1896,Spider-Man: Homecoming,2017,7.4,73,485753,133 min,"Action, Biography, Comedy"
1897,Get Out,2017,7.7,85,461503,104 min,"Action, Biography, Comedy"
1898,It,2017,7.3,69,434963,135 min,"Action, Biography, Comedy"
1899,Blade Runner 2049,2017,8.0,81,431618,164 min,"Action, Biography, Comedy"
1900,Baby Driver,2017,7.6,86,412492,113 min,"Action, Biography, Comedy"
1901,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,400644,115 min,"Action, Biography, Comedy"
1902,Justice League,2017,6.4,45,364237,120 min,"Action, Biography, Comedy"
1903,The Shape of Water,2017,7.3,87,351169,123 min,"Action, Biography, Comedy"
1904,John Wick: Chapter 2,2017,7.5,75,344854,122 min,"Action, Biography, Comedy"
1905,Coco,2017,8.4,81,340756,105 min,"Action, Biography, Comedy"
1906,Jumanji: Welcome to the Jungle,2017,6.9,58,301997,119 min,"Action, Biography, Comedy"
1907,Beauty and the Beast,2017,7.1,65,259975,129 min,"Action, Biography, Comedy"
1908,Kong: Skull Island,2017,6.6,62,258577,118 min,"Action, Biography, Comedy"
1909,Kingsman: The Golden Circle,2017,6.7,44,257176,141 min,"Action, Biography, Comedy"
1910,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,250092,129 min,"Action, Biography, Comedy"
1911,Alien: Covenant,2017,6.4,65,244683,122 min,"Action, Biography, Comedy"
1912,The Greatest Showman,2017,7.6,48,221133,105 min,"Action, Biography, Comedy"
1913,Lady Bird,2017,7.4,94,219731,94 min,"Action, Biography, Comedy"
1914,War for the Planet of the Apes,2017,7.4,82,218689,140 min,"Action, Biography, Comedy"
1915,Murder on the Orient Express,2017,6.5,52,199060,114 min,"Action, Biography, Comedy"
1916,Life,2017,6.6,54,198467,104 min,"Action, Biography, Comedy"
1917,The Fate of the Furious,2017,6.7,56,196478,136 min,"Action, Biography, Comedy"
1918,Call Me by Your Name,2017,7.9,93,192560,132 min,"Action, Biography, Comedy"
1919,Wind River,2017,7.7,73,190872,107 min,"Action, Biography, Comedy"
1920,Ghost in the Shell,2017,6.3,52,189463,107 min,"Action, Biography, Comedy"
1921,King Arthur: Legend of the Sword,2017,6.7,41,183882,126 min,"Action, Biography, Comedy"
1922,Mother!,2017,6.6,75,180872,121 min,"Action, Biography, Comedy"
1923,The Hitman's Bodyguard,2017,6.9,47,178117,118 min,"Action, Biography, Comedy"
1924,"I, Tonya",2017,7.5,77,168890,119 min,"Action, Biography, Comedy"
1925,Atomic Blonde,2017,6.7,63,167367,115 min,"Action, Biography, Comedy"
1926,The Mummy,2017,5.4,34,166908,110 min,"Action, Biography, Comedy"
1927,Bright,2017,6.3,29,161957,117 min,"Action, Biography, Comedy"
1928,Darkest Hour,2017,7.4,75,161611,125 min,"Action, Biography, Comedy"
1929,Valerian and the City of a Thousand Planets,2017,6.5,51,155052,137 min,"Action, Biography, Comedy"
